ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-04-01,30.679880907450194,18.239024150661546,38.505812689291005,30.679880907450194,30.679880907450194,-2.3516657713785807,-2.3516657713785807,-2.3516657713785807,0.9760845581578346,0.9760845581578346,0.9760845581578346,-3.3277503295364155,-3.3277503295364155,-3.3277503295364155,0.0,0.0,0.0,28.328215136071613
2015-04-02,30.66307370356122,18.072045639448476,38.790202193126376,30.66307370356122,30.66307370356122,-2.328757729887928,-2.328757729887928,-2.328757729887928,0.9372482889970014,0.9372482889970014,0.9372482889970014,-3.266006018884929,-3.266006018884929,-3.266006018884929,0.0,0.0,0.0,28.33431597367329
2015-04-06,30.595844888005317,18.73516497734252,38.83726477623331,30.595844888005317,30.595844888005317,-2.0479950695707383,-2.0479950695707383,-2.0479950695707383,1.0892424057109453,1.0892424057109453,1.0892424057109453,-3.1372374752816836,-3.1372374752816836,-3.1372374752816836,0.0,0.0,0.0,28.547849818434578
2015-04-07,30.579037684116344,19.251365645835854,38.63114035075412,30.579037684116344,30.579037684116344,-2.1212407646715628,-2.1212407646715628,-2.1212407646715628,1.010990416922022,1.010990416922022,1.010990416922022,-3.1322311815935855,-3.1322311815935855,-3.1322311815935855,0.0,0.0,0.0,28.45779691944478
2015-04-08,30.562230480227367,18.506969612558905,38.0416373008582,30.562230480227367,30.562230480227367,-2.160393441102824,-2.160393441102824,-2.160393441102824,0.9760845581580618,0.9760845581580618,0.9760845581580618,-3.136477999260886,-3.136477999260886,-3.136477999260886,0.0,0.0,0.0,28.401837039124544
2015-04-09,30.545423276338393,18.761319929727286,39.370095563713946,30.545423276338393,30.545423276338393,-2.21165921759504,-2.21165921759504,-2.21165921759504,0.9372482889962053,0.9372482889962053,0.9372482889962053,-3.148907506591245,-3.148907506591245,-3.148907506591245,0.0,0.0,0.0,28.333764058743355
2015-04-10,30.528616072449417,18.897759537495887,38.659441667511544,30.528616072449417,30.528616072449417,-2.243473611795748,-2.243473611795748,-2.243473611795748,0.9248777555292287,0.9248777555292287,0.9248777555292287,-3.168351367324977,-3.168351367324977,-3.168351367324977,0.0,0.0,0.0,28.285142460653667
2015-04-13,30.47819446078249,17.814291846095745,37.68758967660988,30.47819446078249,30.47819446078249,-2.167085291096001,-2.167085291096001,-2.167085291096001,1.0892424057109258,1.0892424057109258,1.0892424057109258,-3.256327696806926,-3.256327696806926,-3.256327696806926,0.0,0.0,0.0,28.31110916968649
2015-04-14,30.461387256893516,18.22398272816529,37.88969155667108,30.461387256893516,30.461387256893516,-2.2803794075687347,-2.2803794075687347,-2.2803794075687347,1.010990416924231,1.010990416924231,1.010990416924231,-3.291369824492966,-3.291369824492966,-3.291369824492966,0.0,0.0,0.0,28.181007849324782
2015-04-15,30.44458005300454,18.580009030296672,37.66156607322537,30.44458005300454,30.44458005300454,-2.3512058735988615,-2.3512058735988615,-2.3512058735988615,0.9760845581577743,0.9760845581577743,0.9760845581577743,-3.327290431756636,-3.327290431756636,-3.327290431756636,0.0,0.0,0.0,28.09337417940568
2015-04-16,30.427772849115566,18.36898071375839,37.99828515372467,30.427772849115566,30.427772849115566,-2.425775364041141,-2.425775364041141,-2.425775364041141,0.9372482889972318,0.9372482889972318,0.9372482889972318,-3.363023653038373,-3.363023653038373,-3.363023653038373,0.0,0.0,0.0,28.001997485074426
2015-04-17,30.41096564522659,18.638466847057977,38.06513588270731,30.41096564522659,30.41096564522659,-2.472741644750616,-2.472741644750616,-2.472741644750616,0.9248777555240891,0.9248777555240891,0.9248777555240891,-3.397619400274705,-3.397619400274705,-3.397619400274705,0.0,0.0,0.0,27.938224000475973
2015-04-20,30.360544033559663,18.402535835399252,37.20580976976359,30.360544033559663,30.360544033559663,-2.397949540600245,-2.397949540600245,-2.397949540600245,1.0892424057055263,1.0892424057055263,1.0892424057055263,-3.4871919463057717,-3.4871919463057717,-3.4871919463057717,0.0,0.0,0.0,27.96259449295942
2015-04-21,30.34373682967069,17.77361683267273,37.08899784188737,30.34373682967069,30.34373682967069,-2.4996424675924636,-2.4996424675924636,-2.4996424675924636,1.0109904169244757,1.0109904169244757,1.0109904169244757,-3.510632884516939,-3.510632884516939,-3.510632884516939,0.0,0.0,0.0,27.844094362078227
2015-04-22,30.326929625781712,18.440175853328455,37.91897064676239,30.326929625781712,30.326929625781712,-2.554351942427282,-2.554351942427282,-2.554351942427282,0.9760845581578877,0.9760845581578877,0.9760845581578877,-3.53043650058517,-3.53043650058517,-3.53043650058517,0.0,0.0,0.0,27.77257768335443
2015-04-23,30.31012242189274,17.63548218056124,37.425148795990346,30.31012242189274,30.31012242189274,-2.6093398820040625,-2.6093398820040625,-2.6093398820040625,0.9372482889982584,0.9372482889982584,0.9372482889982584,-3.5465881710023215,-3.5465881710023215,-3.5465881710023215,0.0,0.0,0.0,27.700782539888678
2015-04-24,30.293315218003762,16.835041075650565,37.70705665273723,30.293315218003762,30.293315218003762,-2.6343462624521816,-2.6343462624521816,-2.6343462624521816,0.9248777555293949,0.9248777555293949,0.9248777555293949,-3.559224017981577,-3.559224017981577,-3.559224017981577,0.0,0.0,0.0,27.65896895555158
2015-04-27,30.242893606336835,17.284847595106424,37.84047290240516,30.242893606336835,30.242893606336835,-2.490100651521463,-2.490100651521463,-2.490100651521463,1.089242405707942,1.089242405707942,1.089242405707942,-3.5793430572294054,-3.5793430572294054,-3.5793430572294054,0.0,0.0,0.0,27.752792954815373
2015-04-28,30.226086402447862,17.63932520115306,37.49640357189612,30.226086402447862,30.226086402447862,-2.5707423046640634,-2.5707423046640634,-2.5707423046640634,1.01099041692224,1.01099041692224,1.01099041692224,-3.5817327215863033,-3.5817327215863033,-3.5817327215863033,0.0,0.0,0.0,27.6553440977838
2015-04-29,30.20927919855888,17.394986465657052,37.55641684209208,30.20927919855888,30.20927919855888,-2.606860022773814,-2.606860022773814,-2.606860022773814,0.976084558157801,0.976084558157801,0.976084558157801,-3.5829445809316156,-3.5829445809316156,-3.5829445809316156,0.0,0.0,0.0,27.602419175785066
2015-04-30,30.192471985168062,18.002796795099794,37.02290558797694,30.192471985168062,30.192471985168062,-2.646369636816937,-2.646369636816937,-2.646369636816937,0.9372482889956394,0.9372482889956394,0.9372482889956394,-3.583617925812576,-3.583617925812576,-3.583617925812576,0.0,0.0,0.0,27.546102348351127
2015-05-01,30.17566477177724,18.072306005724432,37.55934009148746,30.17566477177724,30.17566477177724,-2.6595112889328125,-2.6595112889328125,-2.6595112889328125,0.9248777555269407,0.9248777555269407,0.9248777555269407,-3.5843890444597535,-3.5843890444597535,-3.5843890444597535,0.0,0.0,0.0,27.516153482844427
2015-05-04,30.125243131604776,18.010277297858426,37.178505311496735,30.125243131604776,30.125243131604776,-2.5038290752937886,-2.5038290752937886,-2.5038290752937886,1.0892424057103576,1.0892424057103576,1.0892424057103576,-3.593071481004146,-3.593071481004146,-3.593071481004146,0.0,0.0,0.0,27.62141405631099
2015-05-05,30.108435918213953,17.353087498605998,37.468541618868805,30.108435918213953,30.108435918213953,-2.5886701203214657,-2.5886701203214657,-2.5886701203214657,1.0109904169244484,1.0109904169244484,1.0109904169244484,-3.599660537245914,-3.599660537245914,-3.599660537245914,0.0,0.0,0.0,27.519765797892486
2015-05-06,30.09162870482313,17.225592359715154,36.96648002760231,30.09162870482313,30.09162870482313,-2.6325518512533064,-2.6325518512533064,-2.6325518512533064,0.9760845581580283,0.9760845581580283,0.9760845581580283,-3.6086364094113352,-3.6086364094113352,-3.6086364094113352,0.0,0.0,0.0,27.459076853569822
2015-05-07,30.07482149143231,17.839197836778883,38.011615011175756,30.07482149143231,30.07482149143231,-2.6828946534784426,-2.6828946534784426,-2.6828946534784426,0.9372482889966659,0.9372482889966659,0.9372482889966659,-3.6201429424751086,-3.6201429424751086,-3.6201429424751086,0.0,0.0,0.0,27.391926837953868
2015-05-08,30.058014278041483,17.560019073967446,37.362783120631114,30.058014278041483,30.058014278041483,-2.7093125402180713,-2.7093125402180713,-2.7093125402180713,0.9248777555244869,0.9248777555244869,0.9248777555244869,-3.634190295742558,-3.634190295742558,-3.634190295742558,0.0,0.0,0.0,27.34870173782341
2015-05-11,30.00759263786902,17.622640861625374,37.51663851386574,30.00759263786902,30.00759263786902,-2.600376606638896,-2.600376606638896,-2.600376606638896,1.0892424057052124,1.0892424057052124,1.0892424057052124,-3.689619012344108,-3.689619012344108,-3.689619012344108,0.0,0.0,0.0,27.407216031230124
